qtr,area_title,own_title,total_qtrly_wages
1,"Gallatin County, Montana",Federal Government,437782
2,"Gallatin County, Montana",Federal Government,513135
1,"Gallatin County, Montana",State Government,0
2,"Gallatin County, Montana",State Government,0
1,"Gallatin County, Montana",Local Government,22711633
2,"Gallatin County, Montana",Local Government,33618593
1,"Gallatin County, Montana",Private,77407779
2,"Gallatin County, Montana",Private,86044383
1,"Garfield County, Montana",Local Government,0
2,"Garfield County, Montana",Local Government,480603
1,"Garfield County, Montana",Private,32021
2,"Garfield County, Montana",Private,32199
1,"Glacier County, Montana",Local Government,7759812
2,"Glacier County, Montana",Local Government,8964596
1,"Glacier County, Montana",Private,2623833
2,"Glacier County, Montana",Private,2450307
1,"Golden Valley County, Montana",Local Government,0
2,"Golden Valley County, Montana",Local Government,0
1,"Golden Valley County, Montana",Private,0
2,"Golden Valley County, Montana",Private,0
1,"Granite County, Montana",Local Government,1110131
2,"Granite County, Montana",Local Government,1520765
1,"Granite County, Montana",Private,69320
2,"Granite County, Montana",Private,71439
1,"Hill County, Montana",State Government,0
2,"Hill County, Montana",State Government,0
1,"Hill County, Montana",Local Government,8516170
2,"Hill County, Montana",Local Government,11808659
1,"Hill County, Montana",Private,11155045
2,"Hill County, Montana",Private,10820321
1,"Jefferson County, Montana",State Government,0
2,"Jefferson County, Montana",State Government,0
1,"Jefferson County, Montana",Local Government,2616016
2,"Jefferson County, Montana",Local Government,3886487
1,"Jefferson County, Montana",Private,2474049
2,"Jefferson County, Montana",Private,2500147
1,"Judith Basin County, Montana",Local Government,713893
2,"Judith Basin County, Montana",Local Government,1081956
1,"Judith Basin County, Montana",Private,35915
2,"Judith Basin County, Montana",Private,35382
1,"Lake County, Montana",State Government,0
2,"Lake County, Montana",State Government,0
1,"Lake County, Montana",Local Government,10778574
2,"Lake County, Montana",Local Government,14796324
1,"Lake County, Montana",Private,14424587
2,"Lake County, Montana",Private,14609075
1,"Lewis and Clark County, Montana",Federal Government,17400987
2,"Lewis and Clark County, Montana",Federal Government,20258187
1,"Lewis and Clark County, Montana",State Government,0
2,"Lewis and Clark County, Montana",State Government,0
1,"Lewis and Clark County, Montana",Local Government,15180398
2,"Lewis and Clark County, Montana",Local Government,22450664
1,"Lewis and Clark County, Montana",Private,60452698
2,"Lewis and Clark County, Montana",Private,68913491
1,"Liberty County, Montana",Local Government,0
2,"Liberty County, Montana",Local Government,0
1,"Liberty County, Montana",Private,0
2,"Liberty County, Montana",Private,0
1,"Lincoln County, Montana",Local Government,4041451
2,"Lincoln County, Montana",Local Government,5797638
1,"Lincoln County, Montana",Private,11070242
2,"Lincoln County, Montana",Private,11858141
1,"McCone County, Montana",Local Government,0
2,"McCone County, Montana",Local Government,647722
1,"McCone County, Montana",Private,0
2,"McCone County, Montana",Private,0
1,"Madison County, Montana",Local Government,2428392
2,"Madison County, Montana",Local Government,3505771
1,"Madison County, Montana",Private,2362197
2,"Madison County, Montana",Private,2573815
1,"Meagher County, Montana",Local Government,0
2,"Meagher County, Montana",Local Government,0
1,"Meagher County, Montana",Private,0
2,"Meagher County, Montana",Private,0
1,"Mineral County, Montana",Local Government,1279115
2,"Mineral County, Montana",Local Government,1809586
1,"Mineral County, Montana",Private,978755
2,"Mineral County, Montana",Private,1131996
1,"Missoula County, Montana",Federal Government,1365634
2,"Missoula County, Montana",Federal Government,1583885
1,"Missoula County, Montana",State Government,0
2,"Missoula County, Montana",State Government,0
1,"Missoula County, Montana",Local Government,23404491
2,"Missoula County, Montana",Local Government,36000798
1,"Missoula County, Montana",Private,122022764
2,"Missoula County, Montana",Private,134995669
1,"Musselshell County, Montana",Local Government,0
2,"Musselshell County, Montana",Local Government,0
1,"Musselshell County, Montana",Private,1245048
2,"Musselshell County, Montana",Private,1390349
1,"Park County, Montana",Local Government,3311468
2,"Park County, Montana",Local Government,4941479
1,"Park County, Montana",Private,10090452
2,"Park County, Montana",Private,8999339
1,"Petroleum County, Montana",Local Government,0
2,"Petroleum County, Montana",Local Government,0
1,"Petroleum County, Montana",Private,0
2,"Petroleum County, Montana",Private,10083
1,"Phillips County, Montana",Local Government,1507467
2,"Phillips County, Montana",Local Government,2005869
1,"Phillips County, Montana",Private,1785142
2,"Phillips County, Montana",Private,1589340
1,"Pondera County, Montana",Local Government,1619181
2,"Pondera County, Montana",Local Government,2392962
1,"Pondera County, Montana",Private,2660579
2,"Pondera County, Montana",Private,2511847
1,"Powder River County, Montana",Local Government,901313
2,"Powder River County, Montana",Local Government,1134852
1,"Powder River County, Montana",Private,0
2,"Powder River County, Montana",Private,0
1,"Powell County, Montana",Local Government,1421755
2,"Powell County, Montana",Local Government,2127437
1,"Powell County, Montana",Private,2883584
2,"Powell County, Montana",Private,2917502
1,"Prairie County, Montana",Local Government,0
2,"Prairie County, Montana",Local Government,0
1,"Prairie County, Montana",Private,0
2,"Prairie County, Montana",Private,0
1,"Ravalli County, Montana",Federal Government,4379319
2,"Ravalli County, Montana",Federal Government,5248295
1,"Ravalli County, Montana",Local Government,8449441
2,"Ravalli County, Montana",Local Government,12535827
1,"Ravalli County, Montana",Private,19144414
2,"Ravalli County, Montana",Private,21191400
1,"Richland County, Montana",Local Government,3426615
2,"Richland County, Montana",Local Government,5254742
1,"Richland County, Montana",Private,8523443
2,"Richland County, Montana",Private,9556643
1,"Roosevelt County, Montana",Local Government,6604004
2,"Roosevelt County, Montana",Local Government,9382553
1,"Roosevelt County, Montana",Private,5171009
2,"Roosevelt County, Montana",Private,4609384
1,"Rosebud County, Montana",Local Government,4759290
2,"Rosebud County, Montana",Local Government,5974343
1,"Rosebud County, Montana",Private,3957019
2,"Rosebud County, Montana",Private,4367547
1,"Sanders County, Montana",Local Government,2629141
2,"Sanders County, Montana",Local Government,3664316
1,"Sanders County, Montana",Private,4970244
2,"Sanders County, Montana",Private,5250254
1,"Sheridan County, Montana",Local Government,1312470
2,"Sheridan County, Montana",Local Government,1979859
1,"Sheridan County, Montana",Private,2090518
2,"Sheridan County, Montana",Private,2415511
1,"Silver Bow County, Montana",State Government,0
2,"Silver Bow County, Montana",State Government,0
1,"Silver Bow County, Montana",Local Government,0
2,"Silver Bow County, Montana",Local Government,0
1,"Silver Bow County, Montana",Private,33052228
2,"Silver Bow County, Montana",Private,32365728
1,"Stillwater County, Montana",Local Government,2558639
2,"Stillwater County, Montana",Local Government,3787362
1,"Stillwater County, Montana",Private,2028031
2,"Stillwater County, Montana",Private,2136447
1,"Sweet Grass County, Montana",Local Government,0
2,"Sweet Grass County, Montana",Local Government,0
1,"Sweet Grass County, Montana",Private,890846
2,"Sweet Grass County, Montana",Private,874598
1,"Teton County, Montana",Local Government,2123672
2,"Teton County, Montana",Local Government,2820638
1,"Teton County, Montana",Private,1396668
2,"Teton County, Montana",Private,1309818
1,"Toole County, Montana",Local Government,2231713
2,"Toole County, Montana",Local Government,2664894
1,"Toole County, Montana",Private,1354830
2,"Toole County, Montana",Private,1455125
1,"Treasure County, Montana",Local Government,0
2,"Treasure County, Montana",Local Government,0
1,"Treasure County, Montana",Private,0
2,"Treasure County, Montana",Private,0
1,"Valley County, Montana",Federal Government,76008
2,"Valley County, Montana",Federal Government,94018
1,"Valley County, Montana",Local Government,2497201
2,"Valley County, Montana",Local Government,2989468
1,"Valley County, Montana",Private,8425794
2,"Valley County, Montana",Private,7545365
1,"Wheatland County, Montana",Local Government,0
2,"Wheatland County, Montana",Local Government,0
1,"Wheatland County, Montana",Private,1062910
2,"Wheatland County, Montana",Private,982744
1,"Wibaux County, Montana",Local Government,0
2,"Wibaux County, Montana",Local Government,0
1,"Yellowstone County, Montana",Federal Government,3657808
2,"Yellowstone County, Montana",Federal Government,3937568
1,"Yellowstone County, Montana",State Government,0
2,"Yellowstone County, Montana",State Government,0
1,"Yellowstone County, Montana",Local Government,38428546
2,"Yellowstone County, Montana",Local Government,57279036
1,"Yellowstone County, Montana",Private,214947746
2,"Yellowstone County, Montana",Private,203615756
1,"Unknown Or Undefined, Montana",Federal Government,21655
2,"Unknown Or Undefined, Montana",Federal Government,19134
1,"Unknown Or Undefined, Montana",State Government,17548
2,"Unknown Or Undefined, Montana",State Government,0
1,"Unknown Or Undefined, Montana",Local Government,0
2,"Unknown Or Undefined, Montana",Local Government,0
1,"Unknown Or Undefined, Montana",Private,5794625
2,"Unknown Or Undefined, Montana",Private,5731887
1,Nebraska -- Statewide,Federal Government,45631071
2,Nebraska -- Statewide,Federal Government,51430753
1,Nebraska -- Statewide,State Government,289692836
2,Nebraska -- Statewide,State Government,291213377
1,Nebraska -- Statewide,Local Government,735826240
2,Nebraska -- Statewide,Local Government,756992111
1,Nebraska -- Statewide,Private,1616338773
2,Nebraska -- Statewide,Private,1632827759
1,"Adams County, Nebraska",State Government,1617638
2,"Adams County, Nebraska",State Government,1416484
1,"Adams County, Nebraska",Local Government,12606340
2,"Adams County, Nebraska",Local Government,12827650
1,"Adams County, Nebraska",Private,37988204
2,"Adams County, Nebraska",Private,35841464
1,"Antelope County, Nebraska",State Government,0
2,"Antelope County, Nebraska",State Government,0
1,"Antelope County, Nebraska",Local Government,2673721
2,"Antelope County, Nebraska",Local Government,2663262
1,"Antelope County, Nebraska",Private,2842651
2,"Antelope County, Nebraska",Private,2459609
1,"Arthur County, Nebraska",State Government,0
2,"Arthur County, Nebraska",State Government,0
1,"Arthur County, Nebraska",Local Government,0
2,"Arthur County, Nebraska",Local Government,0
1,"Arthur County, Nebraska",Private,0
2,"Arthur County, Nebraska",Private,0
1,"Banner County, Nebraska",Local Government,0
2,"Banner County, Nebraska",Local Government,0
1,"Blaine County, Nebraska",Local Government,0
2,"Blaine County, Nebraska",Local Government,0
1,"Blaine County, Nebraska",Private,0
2,"Blaine County, Nebraska",Private,0
1,"Boone County, Nebraska",State Government,0
2,"Boone County, Nebraska",State Government,0
1,"Boone County, Nebraska",Local Government,5667509
2,"Boone County, Nebraska",Local Government,5000525
1,"Boone County, Nebraska",Private,1468345
2,"Boone County, Nebraska",Private,1520686
1,"Box Butte County, Nebraska",State Government,82288
2,"Box Butte County, Nebraska",State Government,79324
1,"Box Butte County, Nebraska",Local Government,7173709
2,"Box Butte County, Nebraska",Local Government,7859644
1,"Box Butte County, Nebraska",Private,1903165
2,"Box Butte County, Nebraska",Private,1926600
1,"Boyd County, Nebraska",State Government,0
2,"Boyd County, Nebraska",State Government,0
1,"Boyd County, Nebraska",Local Government,1085112
2,"Boyd County, Nebraska",Local Government,1041110
1,"Boyd County, Nebraska",Private,505627
2,"Boyd County, Nebraska",Private,534161
1,"Brown County, Nebraska",State Government,0
2,"Brown County, Nebraska",State Government,0
1,"Brown County, Nebraska",Local Government,2497899
2,"Brown County, Nebraska",Local Government,2687617
1,"Brown County, Nebraska",Private,570844
2,"Brown County, Nebraska",Private,679682
1,"Buffalo County, Nebraska",State Government,14156355
2,"Buffalo County, Nebraska",State Government,14664723
1,"Buffalo County, Nebraska",Local Government,15390113
2,"Buffalo County, Nebraska",Local Government,16326579
1,"Buffalo County, Nebraska",Private,53067477
2,"Buffalo County, Nebraska",Private,54765422
1,"Burt County, Nebraska",State Government,0
2,"Burt County, Nebraska",State Government,0
1,"Burt County, Nebraska",Local Government,3063517
2,"Burt County, Nebraska",Local Government,3179921
1,"Burt County, Nebraska",Private,1301560
2,"Burt County, Nebraska",Private,1407866
1,"Butler County, Nebraska",State Government,0
2,"Butler County, Nebraska",State Government,0
1,"Butler County, Nebraska",Local Government,4119461
2,"Butler County, Nebraska",Local Government,4420011
1,"Butler County, Nebraska",Private,2003693
2,"Butler County, Nebraska",Private,2214844
1,"Cass County, Nebraska",State Government,0
2,"Cass County, Nebraska",State Government,0
1,"Cass County, Nebraska",Local Government,8195071
2,"Cass County, Nebraska",Local Government,8448654
1,"Cass County, Nebraska",Private,3209290
2,"Cass County, Nebraska",Private,2947378
1,"Cedar County, Nebraska",State Government,0
2,"Cedar County, Nebraska",State Government,0
1,"Cedar County, Nebraska",Local Government,3412447
2,"Cedar County, Nebraska",Local Government,3311882
1,"Cedar County, Nebraska",Private,1665191
2,"Cedar County, Nebraska",Private,1893821
1,"Chase County, Nebraska",State Government,0
2,"Chase County, Nebraska",State Government,0
1,"Chase County, Nebraska",Local Government,3290428
2,"Chase County, Nebraska",Local Government,3570545
1,"Chase County, Nebraska",Private,518550
2,"Chase County, Nebraska",Private,522969
1,"Cherry County, Nebraska",State Government,0
2,"Cherry County, Nebraska",State Government,0
1,"Cherry County, Nebraska",Local Government,3701829
2,"Cherry County, Nebraska",Local Government,3959472
1,"Cherry County, Nebraska",Private,1672904
2,"Cherry County, Nebraska",Private,1740552
1,"Cheyenne County, Nebraska",State Government,0
2,"Cheyenne County, Nebraska",State Government,0
1,"Cheyenne County, Nebraska",Local Government,3613727
2,"Cheyenne County, Nebraska",Local Government,3656619
1,"Cheyenne County, Nebraska",Private,8053784
2,"Cheyenne County, Nebraska",Private,6952471
1,"Clay County, Nebraska",State Government,0
2,"Clay County, Nebraska",State Government,0
1,"Clay County, Nebraska",Local Government,2617463
2,"Clay County, Nebraska",Local Government,2659244
1,"Clay County, Nebraska",Private,1281908
2,"Clay County, Nebraska",Private,1248182
1,"Colfax County, Nebraska",State Government,0
2,"Colfax County, Nebraska",State Government,0
1,"Colfax County, Nebraska",Local Government,4719632
2,"Colfax County, Nebraska",Local Government,4704015
1,"Colfax County, Nebraska",Private,2141541
2,"Colfax County, Nebraska",Private,1692919
1,"Cuming County, Nebraska",State Government,0
2,"Cuming County, Nebraska",State Government,0
1,"Cuming County, Nebraska",Local Government,3854086
2,"Cuming County, Nebraska",Local Government,3883138
1,"Cuming County, Nebraska",Private,4343883
2,"Cuming County, Nebraska",Private,4737843
1,"Custer County, Nebraska",State Government,0
2,"Custer County, Nebraska",State Government,0
1,"Custer County, Nebraska",Local Government,4873638
2,"Custer County, Nebraska",Local Government,5021135
1,"Custer County, Nebraska",Private,5225497
2,"Custer County, Nebraska",Private,5003652
1,"Dakota County, Nebraska",State Government,0
2,"Dakota County, Nebraska",State Government,0
1,"Dakota County, Nebraska",Local Government,8825178
2,"Dakota County, Nebraska",Local Government,8839579
1,"Dakota County, Nebraska",Private,4608178
2,"Dakota County, Nebraska",Private,5017638
1,"Dawes County, Nebraska",State Government,0
2,"Dawes County, Nebraska",State Government,0
1,"Dawes County, Nebraska",Local Government,2661002
2,"Dawes County, Nebraska",Local Government,2680129
1,"Dawes County, Nebraska",Private,4117192
2,"Dawes County, Nebraska",Private,3823071
1,"Dawson County, Nebraska",State Government,920787
2,"Dawson County, Nebraska",State Government,822329
1,"Dawson County, Nebraska",Local Government,16291380
2,"Dawson County, Nebraska",Local Government,17315923
1,"Dawson County, Nebraska",Private,4842359
2,"Dawson County, Nebraska",Private,4845151
1,"Deuel County, Nebraska",State Government,0
2,"Deuel County, Nebraska",State Government,0
1,"Deuel County, Nebraska",Local Government,0
2,"Deuel County, Nebraska",Local Government,0
1,"Deuel County, Nebraska",Private,167785
2,"Deuel County, Nebraska",Private,178590
1,"Dixon County, Nebraska",State Government,0
2,"Dixon County, Nebraska",State Government,0
1,"Dixon County, Nebraska",Local Government,1802623
2,"Dixon County, Nebraska",Local Government,1495195
1,"Dixon County, Nebraska",Private,485557
2,"Dixon County, Nebraska",Private,539140
1,"Dodge County, Nebraska",State Government,2256733
2,"Dodge County, Nebraska",State Government,2010906
1,"Dodge County, Nebraska",Local Government,12777280
2,"Dodge County, Nebraska",Local Government,12995276
1,"Dodge County, Nebraska",Private,26723457
2,"Dodge County, Nebraska",Private,26559414
1,"Douglas County, Nebraska",Federal Government,33669944
2,"Douglas County, Nebraska",Federal Government,38029480
1,"Douglas County, Nebraska",State Government,103662275
2,"Douglas County, Nebraska",State Government,105331358
1,"Douglas County, Nebraska",Local Government,189924171
2,"Douglas County, Nebraska",Local Government,198646939
1,"Douglas County, Nebraska",Private,766331001
2,"Douglas County, Nebraska",Private,763415440
1,"Dundy County, Nebraska",State Government,0
2,"Dundy County, Nebraska",State Government,0
1,"Dundy County, Nebraska",Local Government,1775924
2,"Dundy County, Nebraska",Local Government,1891529
1,"Dundy County, Nebraska",Private,413178
2,"Dundy County, Nebraska",Private,353097
1,"Fillmore County, Nebraska",State Government,0
2,"Fillmore County, Nebraska",State Government,0
1,"Fillmore County, Nebraska",Local Government,4273529
2,"Fillmore County, Nebraska",Local Government,4802261
1,"Fillmore County, Nebraska",Private,1453147
2,"Fillmore County, Nebraska",Private,1591080
1,"Franklin County, Nebraska",State Government,0
2,"Franklin County, Nebraska",State Government,0
1,"Franklin County, Nebraska",Local Government,1811137
2,"Franklin County, Nebraska",Local Government,1892215
1,"Franklin County, Nebraska",Private,378960
2,"Franklin County, Nebraska",Private,406040
1,"Frontier County, Nebraska",State Government,0
2,"Frontier County, Nebraska",State Government,0
1,"Frontier County, Nebraska",Local Government,1466380
2,"Frontier County, Nebraska",Local Government,1457729
1,"Frontier County, Nebraska",Private,73060
2,"Frontier County, Nebraska",Private,74799
1,"Furnas County, Nebraska",State Government,0
2,"Furnas County, Nebraska",State Government,0
1,"Furnas County, Nebraska",Local Government,2340625
2,"Furnas County, Nebraska",Local Government,2384191
1,"Furnas County, Nebraska",Private,2462237
2,"Furnas County, Nebraska",Private,2792167
1,"Gage County, Nebraska",State Government,0
2,"Gage County, Nebraska",State Government,0
1,"Gage County, Nebraska",Local Government,8232438
2,"Gage County, Nebraska",Local Government,8188624
1,"Gage County, Nebraska",Private,16159068
2,"Gage County, Nebraska",Private,14534610
1,"Garden County, Nebraska",State Government,0
2,"Garden County, Nebraska",State Government,0
1,"Garden County, Nebraska",Local Government,0
2,"Garden County, Nebraska",Local Government,0
1,"Garden County, Nebraska",Private,848326
2,"Garden County, Nebraska",Private,1006750
1,"Garfield County, Nebraska",State Government,0
2,"Garfield County, Nebraska",State Government,0
1,"Garfield County, Nebraska",Local Government,0
2,"Garfield County, Nebraska",Local Government,0
1,"Garfield County, Nebraska",Private,814953
2,"Garfield County, Nebraska",Private,935942
1,"Gosper County, Nebraska",State Government,0
2,"Gosper County, Nebraska",State Government,0
1,"Gosper County, Nebraska",Local Government,0
2,"Gosper County, Nebraska",Local Government,0
1,"Gosper County, Nebraska",Private,23266
2,"Gosper County, Nebraska",Private,0
1,"Grant County, Nebraska",State Government,0
2,"Grant County, Nebraska",State Government,0
1,"Grant County, Nebraska",Local Government,0
2,"Grant County, Nebraska",Local Government,0
1,"Grant County, Nebraska",Private,0
2,"Grant County, Nebraska",Private,0
1,"Greeley County, Nebraska",State Government,0
2,"Greeley County, Nebraska",State Government,0
1,"Greeley County, Nebraska",Local Government,1541854
2,"Greeley County, Nebraska",Local Government,1493430
1,"Greeley County, Nebraska",Private,90459
2,"Greeley County, Nebraska",Private,105223
1,"Hall County, Nebraska",Federal Government,5483765
2,"Hall County, Nebraska",Federal Government,6181322
1,"Hall County, Nebraska",State Government,0
2,"Hall County, Nebraska",State Government,0
1,"Hall County, Nebraska",Local Government,26054426
2,"Hall County, Nebraska",Local Government,26690489
1,"Hall County, Nebraska",Private,42145519
2,"Hall County, Nebraska",Private,41119817
1,"Hamilton County, Nebraska",State Government,0
2,"Hamilton County, Nebraska",State Government,0
1,"Hamilton County, Nebraska",Local Government,3246121
2,"Hamilton County, Nebraska",Local Government,3269042
1,"Hamilton County, Nebraska",Private,3890310
2,"Hamilton County, Nebraska",Private,3638181
1,"Harlan County, Nebraska",State Government,0
2,"Harlan County, Nebraska",State Government,0
1,"Harlan County, Nebraska",Local Government,1672945
2,"Harlan County, Nebraska",Local Government,1703320
1,"Harlan County, Nebraska",Private,466025
2,"Harlan County, Nebraska",Private,506744
1,"Hayes County, Nebraska",Local Government,368122
2,"Hayes County, Nebraska",Local Government,359499
1,"Hayes County, Nebraska",Private,0
2,"Hayes County, Nebraska",Private,0
1,"Hitchcock County, Nebraska",State Government,0
2,"Hitchcock County, Nebraska",State Government,0
1,"Hitchcock County, Nebraska",Local Government,1416891
2,"Hitchcock County, Nebraska",Local Government,1366304
1,"Hitchcock County, Nebraska",Private,73295
2,"Hitchcock County, Nebraska",Private,73313
1,"Holt County, Nebraska",State Government,0
2,"Holt County, Nebraska",State Government,0
1,"Holt County, Nebraska",Local Government,4537447
2,"Holt County, Nebraska",Local Government,4416458
1,"Holt County, Nebraska",Private,8900441
2,"Holt County, Nebraska",Private,8066936
1,"Hooker County, Nebraska",Local Government,0
2,"Hooker County, Nebraska",Local Government,0
1,"Hooker County, Nebraska",Private,292688
2,"Hooker County, Nebraska",Private,0
1,"Howard County, Nebraska",State Government,0
2,"Howard County, Nebraska",State Government,0
1,"Howard County, Nebraska",Local Government,4441680
2,"Howard County, Nebraska",Local Government,4708234
1,"Howard County, Nebraska",Private,1017337
2,"Howard County, Nebraska",Private,1082726
1,"Jefferson County, Nebraska",State Government,0
2,"Jefferson County, Nebraska",State Government,0
1,"Jefferson County, Nebraska",Local Government,2532517
2,"Jefferson County, Nebraska",Local Government,0
1,"Jefferson County, Nebraska",Private,3792144
2,"Jefferson County, Nebraska",Private,4168671
1,"Johnson County, Nebraska",State Government,0
2,"Johnson County, Nebraska",State Government,0
1,"Johnson County, Nebraska",Local Government,3093543
2,"Johnson County, Nebraska",Local Government,3346914
1,"Johnson County, Nebraska",Private,721565
2,"Johnson County, Nebraska",Private,709771
1,"Kearney County, Nebraska",State Government,0
2,"Kearney County, Nebraska",State Government,0
1,"Kearney County, Nebraska",Local Government,3323521
2,"Kearney County, Nebraska",Local Government,3196356
1,"Kearney County, Nebraska",Private,2797420
2,"Kearney County, Nebraska",Private,2747444
1,"Keith County, Nebraska",State Government,0
2,"Keith County, Nebraska",State Government,0
1,"Keith County, Nebraska",Local Government,2294873
2,"Keith County, Nebraska",Local Government,2287073
1,"Keith County, Nebraska",Private,4094109
2,"Keith County, Nebraska",Private,3821677
1,"Keya Paha County, Nebraska",Local Government,0
2,"Keya Paha County, Nebraska",Local Government,0
1,"Keya Paha County, Nebraska",Private,0
2,"Keya Paha County, Nebraska",Private,0
1,"Kimball County, Nebraska",State Government,0
2,"Kimball County, Nebraska",State Government,0
1,"Kimball County, Nebraska",Local Government,2821715
2,"Kimball County, Nebraska",Local Government,2717237
1,"Kimball County, Nebraska",Private,188023
2,"Kimball County, Nebraska",Private,184892
1,"Knox County, Nebraska",State Government,0
2,"Knox County, Nebraska",State Government,0
1,"Knox County, Nebraska",Local Government,4993564
2,"Knox County, Nebraska",Local Government,5044016
1,"Knox County, Nebraska",Private,3024628
2,"Knox County, Nebraska",Private,2850113
1,"Lancaster County, Nebraska",Federal Government,4276018
2,"Lancaster County, Nebraska",Federal Government,4953172
1,"Lancaster County, Nebraska",State Government,126550920
2,"Lancaster County, Nebraska",State Government,129210365
1,"Lancaster County, Nebraska",Local Government,95052222
2,"Lancaster County, Nebraska",Local Government,96951692
1,"Lancaster County, Nebraska",Private,285660157
2,"Lancaster County, Nebraska",Private,302146451
1,"Lincoln County, Nebraska",Federal Government,330500
2,"Lincoln County, Nebraska",Federal Government,341890
1,"Lincoln County, Nebraska",State Government,0
2,"Lincoln County, Nebraska",State Government,0
1,"Lincoln County, Nebraska",Local Government,12901718
2,"Lincoln County, Nebraska",Local Government,13069296
1,"Lincoln County, Nebraska",Private,35880114
2,"Lincoln County, Nebraska",Private,33593240
1,"Logan County, Nebraska",State Government,0
2,"Logan County, Nebraska",State Government,0
1,"Logan County, Nebraska",Local Government,0
2,"Logan County, Nebraska",Local Government,0
1,"Logan County, Nebraska",Private,0
2,"Logan County, Nebraska",Private,0
1,"Loup County, Nebraska",Local Government,0
2,"Loup County, Nebraska",Local Government,0
1,"Loup County, Nebraska",Private,0
2,"Loup County, Nebraska",Private,0
1,"McPherson County, Nebraska",Local Government,0
2,"McPherson County, Nebraska",Local Government,0
1,"Madison County, Nebraska",Federal Government,358800
2,"Madison County, Nebraska",Federal Government,377823
1,"Madison County, Nebraska",State Government,5393826
2,"Madison County, Nebraska",State Government,4533543
1,"Madison County, Nebraska",Local Government,19168841
2,"Madison County, Nebraska",Local Government,20064921
1,"Madison County, Nebraska",Private,41376197
2,"Madison County, Nebraska",Private,43173927
1,"Merrick County, Nebraska",State Government,0
2,"Merrick County, Nebraska",State Government,0
1,"Merrick County, Nebraska",Local Government,2591175
2,"Merrick County, Nebraska",Local Government,2663642
1,"Merrick County, Nebraska",Private,2673638
2,"Merrick County, Nebraska",Private,2928878
1,"Morrill County, Nebraska",State Government,0
2,"Morrill County, Nebraska",State Government,0
1,"Morrill County, Nebraska",Local Government,4528754
2,"Morrill County, Nebraska",Local Government,4314875
1,"Morrill County, Nebraska",Private,803313
2,"Morrill County, Nebraska",Private,823859
1,"Nance County, Nebraska",State Government,0
2,"Nance County, Nebraska",State Government,0
1,"Nance County, Nebraska",Local Government,2542121
2,"Nance County, Nebraska",Local Government,2741043
1,"Nance County, Nebraska",Private,826281
2,"Nance County, Nebraska",Private,863418
1,"Nemaha County, Nebraska",State Government,0
2,"Nemaha County, Nebraska",State Government,0
1,"Nemaha County, Nebraska",Local Government,4240536
2,"Nemaha County, Nebraska",Local Government,4422332
1,"Nemaha County, Nebraska",Private,2025530
2,"Nemaha County, Nebraska",Private,2218581
1,"Nuckolls County, Nebraska",State Government,0
2,"Nuckolls County, Nebraska",State Government,0
1,"Nuckolls County, Nebraska",Local Government,1643551
2,"Nuckolls County, Nebraska",Local Government,1718484
1,"Nuckolls County, Nebraska",Private,3275390
2,"Nuckolls County, Nebraska",Private,3481031
1,"Otoe County, Nebraska",State Government,427753
2,"Otoe County, Nebraska",State Government,365973
1,"Otoe County, Nebraska",Local Government,7171571
2,"Otoe County, Nebraska",Local Government,7450147
1,"Otoe County, Nebraska",Private,6039558
2,"Otoe County, Nebraska",Private,5928323
1,"Pawnee County, Nebraska",State Government,0
2,"Pawnee County, Nebraska",State Government,0
1,"Pawnee County, Nebraska",Local Government,1910513
2,"Pawnee County, Nebraska",Local Government,1823657
1,"Pawnee County, Nebraska",Private,420809
2,"Pawnee County, Nebraska",Private,448694
1,"Perkins County, Nebraska",State Government,0
2,"Perkins County, Nebraska",State Government,0
1,"Perkins County, Nebraska",Local Government,3355725
2,"Perkins County, Nebraska",Local Government,3824336
1,"Perkins County, Nebraska",Private,330234
2,"Perkins County, Nebraska",Private,323557
1,"Phelps County, Nebraska",Federal Government,145616
2,"Phelps County, Nebraska",Federal Government,168011
1,"Phelps County, Nebraska",State Government,0
2,"Phelps County, Nebraska",State Government,0
1,"Phelps County, Nebraska",Local Government,3973036
2,"Phelps County, Nebraska",Local Government,3880592
1,"Phelps County, Nebraska",Private,6741102
2,"Phelps County, Nebraska",Private,6766121
1,"Pierce County, Nebraska",State Government,0
2,"Pierce County, Nebraska",State Government,0
1,"Pierce County, Nebraska",Local Government,2323727
2,"Pierce County, Nebraska",Local Government,2256670
1,"Pierce County, Nebraska",Private,2535036
2,"Pierce County, Nebraska",Private,2555179
1,"Platte County, Nebraska",State Government,547269
2,"Platte County, Nebraska",State Government,485609
1,"Platte County, Nebraska",Local Government,12547305
2,"Platte County, Nebraska",Local Government,12601528
1,"Platte County, Nebraska",Private,20824351
2,"Platte County, Nebraska",Private,21454920
1,"Polk County, Nebraska",State Government,0
2,"Polk County, Nebraska",State Government,0
1,"Polk County, Nebraska",Local Government,3675760
2,"Polk County, Nebraska",Local Government,3800833
1,"Polk County, Nebraska",Private,1332066
2,"Polk County, Nebraska",Private,1332146
1,"Red Willow County, Nebraska",State Government,241761
2,"Red Willow County, Nebraska",State Government,218268
1,"Red Willow County, Nebraska",Local Government,5005310
2,"Red Willow County, Nebraska",Local Government,4841527
1,"Red Willow County, Nebraska",Private,8321485
2,"Red Willow County, Nebraska",Private,7612093
1,"Richardson County, Nebraska",State Government,120623
2,"Richardson County, Nebraska",State Government,111322
